Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Litopenaeus setiferus	setiferus	Animalia	Arthropoda	Malacostraca	Decapoda	Penaeidae	Litopenaeus	Litopenaeus setiferus
Arenaeus cribrarius	cribrarius	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Arenaeus	Arenaeus cribrarius
Megabalanus coccopoma	coccopoma	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	Megabalanus	Megabalanus coccopoma
Squilla chydaea	chydaea	Animalia	Arthropoda	Malacostraca	Stomatopoda	Squillidae	Squilla	Squilla chydaea
Cytheropteron palton	palton	Animalia	Arthropoda	Ostracoda	Podocopida	Cytheruridae	Cytheropteron	Cytheropteron palton
Macrobrachium tenellum	tenellum	Animalia	Arthropoda	Malacostraca	Decapoda	Palaemonidae	Macrobrachium	Macrobrachium tenellum
Megabalanus tintinnabulum	tintinnabulum	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	Megabalanus	Megabalanus tintinnabulum
Unciola serrata	serrata	Animalia	Arthropoda	Malacostraca	Amphipoda	Aoridae	Unciola	Unciola serrata
Pyromaia cuspidata	cuspidata	Animalia	Arthropoda	Malacostraca	Decapoda	Inachoididae	Pyromaia	Pyromaia cuspidata
Ampelisca verrilli	verrilli	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	Ampelisca verrilli
Aristaeopsis edwardsiana	edwardsiana	Animalia	Arthropoda	Malacostraca	Decapoda	Aristeidae	Aristaeopsis	Aristaeopsis edwardsiana
Bathysquilla microps	microps	Animalia	Arthropoda	Malacostraca	Stomatopoda	Bathysquillidae	Bathysquilla	Bathysquilla microps
Ampelisca agassizi	agassizi	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca	Ampelisca agassizi
Bathypalaemonella serratipalma	serratipalma	Animalia	Arthropoda	Malacostraca	Decapoda	Bathypalaemonellidae	Bathypalaemonella	Bathypalaemonella serratipalma
Agononida longipes	longipes	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Agononida	Agononida longipes
Automate evermanni	evermanni	Animalia	Arthropoda	Malacostraca	Decapoda	Alpheidae	Automate	Automate evermanni
Parapagurus pilosimanus	pilosimanus	Animalia	Arthropoda	Malacostraca	Decapoda	Parapaguridae	Parapagurus	Parapagurus pilosimanus
Nephropsis aculeata	aculeata	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephropsis	Nephropsis aculeata
Balanus subalbidus	subalbidus	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	Balanus	Balanus subalbidus
Glyphocrangon longleyi	longleyi	Animalia	Arthropoda	Malacostraca	Decapoda	Glyphocrangonidae	Glyphocrangon	Glyphocrangon longleyi
Uroptychus nitidus	nitidus	Animalia	Arthropoda	Malacostraca	Decapoda	Chirostylidae	Uroptychus	Uroptychus nitidus
Cardisoma guanhumi	guanhumi	Animalia	Arthropoda	Malacostraca	Decapoda	Gecarcinidae	Cardisoma	Cardisoma guanhumi
Raymanninus schmitti	schmitti	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Raymanninus	Raymanninus schmitti
